,p.geomean,stat.mean,p.val,q.val,set.size,exp1,dir
hsa04144.Endocytosis,3.24588211382928e-10,6.35884772435718,3.24588211382928e-10,2.62916451220172e-08,198,3.24588211382928e-10,greater
hsa04510.Focal.adhesion,2.91309772212535e-09,5.97062739742172,2.91309772212536e-09,1.17980457746077e-07,193,2.91309772212535e-09,greater
hsa04380.Osteoclast.differentiation,3.07459745225953e-07,5.12548239231223,3.07459745225952e-07,8.30141312110071e-06,120,3.07459745225953e-07,greater
hsa04666.Fc.gamma.R.mediated.phagocytosis,9.66995871345232e-07,4.92212756717911,9.66995871345231e-07,1.95816663947409e-05,92,9.66995871345233e-07,greater
hsa04020.Calcium.signaling.pathway,5.98083180373898e-06,4.44775914603961,5.98083180373897e-06,9.68894752205714e-05,167,5.98083180373898e-06,greater
hsa04146.Peroxisome,7.62833677643503e-06,4.49180495905719,7.62833677643502e-06,0.000102982546481873,76,7.62833677643503e-06,greater
hsa00520.Amino.sugar.and.nucleotide.sugar.metabolism,1.66471650345968e-05,4.37625159459954,1.66471650345968e-05,0.00019263148111462,47,1.66471650345968e-05,greater
hsa04910.Insulin.signaling.pathway,2.66981719486712e-05,4.11535668849502,2.66981719486712e-05,0.000241842705065033,131,2.66981719486712e-05,greater
hsa04722.Neurotrophin.signaling.pathway,2.68714116738925e-05,4.13114761269192,2.68714116738926e-05,0.000241842705065033,121,2.68714116738925e-05,greater
hsa04360.Axon.guidance,3.88539104159534e-05,4.01959199519965,3.88539104159536e-05,0.000314716674369224,124,3.88539104159534e-05,greater
hsa04540.Gap.junction,9.40121880991777e-05,3.82203325601878,9.40121880991782e-05,0.000642147506353131,88,9.40121880991777e-05,greater
hsa04971.Gastric.acid.secretion,9.51329639041671e-05,3.83230745096856,9.51329639041675e-05,0.000642147506353131,72,9.51329639041671e-05,greater
hsa04914.Progesterone.mediated.oocyte.maturation,0.00011926030656481,3.76040379797806,0.000119260306564811,0.000743083448596128,81,0.00011926030656481,greater
hsa04512.ECM.receptor.interaction,0.000153192396827523,3.69131245390135,0.000153192396827523,0.000886327438787814,82,0.000153192396827523,greater
hsa04210.Apoptosis,0.000300433275767542,3.51456281408915,0.000300433275767542,0.00162233968914473,81,0.000300433275767542,greater
hsa03030.DNA.replication,0.00037273063233696,3.60046681225076,0.000372730632336961,0.00188694882620586,33,0.00037273063233696,greater
hsa04720.Long.term.potentiation,0.000449783956100832,3.41090003945496,0.000449783956100832,0.00214308826142161,66,0.000449783956100832,greater
hsa04115.p53.signaling.pathway,0.000616175284182854,3.30397080247,0.000616175284182854,0.00263629402000581,67,0.000616175284182854,greater
hsa04012.ErbB.signaling.pathway,0.000626699778040944,3.29106624405396,0.000626699778040945,0.00263629402000581,84,0.000626699778040944,greater
hsa04650.Natural.killer.cell.mediated.cytotoxicity,0.000650936795063165,3.25236411768697,0.000650936795063164,0.00263629402000581,127,0.000650936795063165,greater
hsa00380.Tryptophan.metabolism,0.000746087462786116,3.30005014756712,0.000746087462786116,0.00284448579075619,38,0.000746087462786116,greater
hsa04260.Cardiac.muscle.contraction,0.000772576387612792,3.23156398991138,0.000772576387612792,0.00284448579075619,69,0.000772576387612792,greater
hsa04070.Phosphatidylinositol.signaling.system,0.000842264842397213,3.20528183637067,0.000842264842397211,0.00296623705365974,77,0.000842264842397213,greater
hsa04970.Salivary.secretion,0.000985109650739125,3.14471899590643,0.000985109650739123,0.00332474507124454,84,0.000985109650739124,greater
hsa04520.Adherens.junction,0.00111357985787622,3.12283573548919,0.00111357985787622,0.00360799873951895,72,0.00111357985787622,greater
hsa04530.Tight.junction,0.0013569256263226,3.02897396207186,0.00135692562632259,0.00415958823068907,130,0.0013569256263226,greater
hsa04310.Wnt.signaling.pathway,0.00138652941022969,3.02013480693372,0.00138652941022969,0.00415958823068907,146,0.00138652941022969,greater
hsa04962.Vasopressin.regulated.water.reabsorption,0.00184743916185473,2.9939035828707,0.00184743916185474,0.00534437757536549,42,0.00184743916185473,greater
hsa04920.Adipocytokine.signaling.pathway,0.00209909523457067,2.91828209026303,0.00209909523457067,0.00586299013793877,65,0.00209909523457067,greater
hsa00071.Fatty.acid.metabolism,0.00296550537489914,2.83757061850098,0.00296550537489914,0.00800686451222769,42,0.00296550537489914,greater
hsa00650.Butanoate.metabolism,0.00353247589743326,2.80157291595065,0.00353247589743326,0.00923001766748691,29,0.00353247589743327,greater
hsa00670.One.carbon.pool.by.folate,0.00375308172081613,2.8431570731205,0.00375308172081613,0.00949998810581584,18,0.00375308172081613,greater
hsa00310.Lysine.degradation,0.00398227238137578,2.75105423840416,0.00398227238137578,0.00959683950393092,42,0.00398227238137578,greater
hsa00480.Glutathione.metabolism,0.00402830300165002,2.71104705207256,0.00402830300165002,0.00959683950393092,46,0.00402830300165002,greater
hsa00010.Glycolysis...Gluconeogenesis,0.00429711398034353,2.67118860392199,0.00429711398034354,0.00994474949736647,62,0.00429711398034352,greater
hsa04916.Melanogenesis,0.0045209754901366,2.63764863138239,0.00452097549013661,0.0101721948528074,100,0.0045209754901366,greater
hsa01040.Biosynthesis.of.unsaturated.fatty.acids,0.00500858855962882,2.71425051181238,0.00500858855962882,0.0109647479278361,21,0.00500858855962882,greater
hsa04974.Protein.digestion.and.absorption,0.00518617663900653,2.59590324946569,0.00518617663900653,0.0110547449410402,76,0.00518617663900653,greater
hsa04620.Toll.like.receptor.signaling.pathway,0.00540717609494284,2.5744145981252,0.00540717609494285,0.0112302888125736,95,0.00540717609494284,greater
hsa00280.Valine..leucine.and.isoleucine.degradation,0.00601270321845536,2.59226718767652,0.00601270321845536,0.0121757240173721,43,0.00601270321845536,greater
hsa04320.Dorso.ventral.axis.formation,0.00792732675702126,2.51177908253551,0.00792732675702125,0.0156613040809444,24,0.00792732675702126,greater
hsa00600.Sphingolipid.metabolism,0.00841337596800628,2.44589394991497,0.00841337596800629,0.0162257965097264,39,0.00841337596800628,greater
hsa03018.RNA.degradation,0.0101205021962322,2.36172303768024,0.0101205021962323,0.0188187103855955,68,0.0101205021962323,greater
hsa00270.Cysteine.and.methionine.metabolism,0.0105140190681948,2.37473516856435,0.0105140190681948,0.0188187103855955,35,0.0105140190681948,greater
hsa00250.Alanine..aspartate.and.glutamate.metabolism,0.0105509548284213,2.37194650400674,0.0105509548284213,0.0188187103855955,31,0.0105509548284213,greater
hsa03060.Protein.export,0.0106871688609555,2.42971335552698,0.0106871688609555,0.0188187103855955,23,0.0106871688609555,greater
hsa04664.Fc.epsilon.RI.signaling.pathway,0.0124457285079038,2.2679762529884,0.0124457285079038,0.0209663754810257,78,0.0124457285079038,greater
hsa00410.beta.Alanine.metabolism,0.0126241741167383,2.33118287536962,0.0126241741167384,0.0209663754810257,21,0.0126241741167383,greater
hsa00512.Mucin.type.O.Glycan.biosynthesis,0.0126833629453118,2.2974074967498,0.0126833629453118,0.0209663754810257,29,0.0126833629453118,greater
hsa00640.Propanoate.metabolism,0.0132435850909714,2.28167053331488,0.0132435850909714,0.0214546078473737,32,0.0132435850909714,greater
hsa00533.Glycosaminoglycan.biosynthesis...keratan.sulfate,0.0160530495769536,2.26594336374799,0.0160530495769537,0.0254960199163382,15,0.0160530495769536,greater
hsa04662.B.cell.receptor.signaling.pathway,0.0187542182757977,2.10441112601533,0.0187542182757977,0.0292133015449926,73,0.0187542182757977,greater
hsa00030.Pentose.phosphate.pathway,0.0256589132610469,2.00343000838123,0.025658913261047,0.039214565549902,23,0.0256589132610469,greater
hsa00910.Nitrogen.metabolism,0.0277999923027131,1.97705034130738,0.0277999923027131,0.0416999884540697,21,0.0277999923027131,greater
hsa04975.Fat.digestion.and.absorption,0.0289729305605938,1.92269986743475,0.0289729305605938,0.04266922500742,46,0.0289729305605938,greater
hsa03020.RNA.polymerase,0.0300961234386812,1.93626737320923,0.0300961234386812,0.0435318928309496,28,0.0300961234386812,greater
hsa00052.Galactose.metabolism,0.0348134211219101,1.85746002110664,0.0348134211219101,0.04886978812484,26,0.0348134211219101,greater
hsa00120.Primary.bile.acid.biosynthesis,0.0351334828254081,1.87764042505103,0.0351334828254081,0.04886978812484,16,0.0351334828254081,greater
hsa04660.T.cell.receptor.signaling.pathway,0.0358707657095317,1.81221077568069,0.0358707657095318,0.04886978812484,105,0.0358707657095317,greater
hsa00020.Citrate.cycle..TCA.cycle.,0.036199843055437,1.84072131492043,0.036199843055437,0.04886978812484,28,0.036199843055437,greater
hsa04122.Sulfur.relay.system,0.0376356630111694,1.93658623294621,0.0376356630111695,0.0495667179620072,10,0.0376356630111695,greater
hsa00982.Drug.metabolism...cytochrome.P450,0.0379399569585734,1.78894288345755,0.0379399569585734,0.0495667179620072,70,0.0379399569585734,greater
hsa00604.Glycosphingolipid.biosynthesis...ganglio.series,0.040199946267137,1.82594377400107,0.040199946267137,0.0516856452006047,14,0.040199946267137,greater
hsa00620.Pyruvate.metabolism,0.0457729993910927,1.70988640953451,0.0457729993910928,0.0579314523543518,39,0.0457729993910927,greater
hsa04330.Notch.signaling.pathway,0.0487425138893676,1.67543658040208,0.0487425138893676,0.0607406711544428,47,0.0487425138893676,greater
hsa00350.Tyrosine.metabolism,0.0516621645836948,1.64994065691345,0.0516621645836948,0.0634035656254436,39,0.0516621645836948,greater
hsa00980.Metabolism.of.xenobiotics.by.cytochrome.P450,0.0606665650760268,1.55898969175989,0.0606665650760268,0.0733431607635548,70,0.0606665650760268,greater
hsa00790.Folate.biosynthesis,0.0634821470999776,1.59247040834676,0.0634821470999776,0.0756184399279145,11,0.0634821470999776,greater
hsa00100.Steroid.biosynthesis,0.075061311549752,1.47453823757526,0.075061311549752,0.0881154526888393,17,0.075061311549752,greater
hsa04630.Jak.STAT.signaling.pathway,0.0821168004357817,1.39451692958111,0.0821168004357816,0.0946157679908197,146,0.0821168004357817,greater
hsa00740.Riboflavin.metabolism,0.0829348089796074,1.44215898228742,0.0829348089796074,0.0946157679908197,11,0.0829348089796073,greater
hsa04973.Carbohydrate.digestion.and.absorption,0.0863510454438575,1.37566257347642,0.0863510454438575,0.0971449261243397,42,0.0863510454438575,greater
hsa04960.Aldosterone.regulated.sodium.reabsorption,0.0929393859933785,1.33516047859796,0.0929393859933785,0.103124524184434,40,0.0929393859933785,greater
hsa04744.Phototransduction,0.103997383861266,1.27437303283648,0.103997383861266,0.113834974226521,28,0.103997383861266,greater
hsa00983.Drug.metabolism...other.enzymes,0.137311330527615,1.09850757088447,0.137311330527615,0.148296236969824,51,0.137311330527615,greater
hsa00514.Other.types.of.O.glycan.biosynthesis,0.181468436463897,0.91458007811167,0.181468436463897,0.193407149389154,45,0.181468436463897,greater
hsa00830.Retinol.metabolism,0.192698046317121,0.871225486134798,0.192698046317121,0.202708334437491,62,0.192698046317121,greater
hsa04977.Vitamin.digestion.and.absorption,0.212477746846521,0.806395182610812,0.212477746846521,0.220649967879079,23,0.212477746846521,greater
hsa00860.Porphyrin.and.chlorophyll.metabolism,0.312397354955624,0.490969424146705,0.312397354955624,0.320306148751969,41,0.312397354955624,greater
hsa00053.Ascorbate.and.aldarate.metabolism,0.825537303309041,-0.945862452268778,0.825537303309041,0.835856519600404,26,0.825537303309041,greater
hsa04740.Olfactory.transduction,0.969616631391128,-1.87800847811418,0.969616631391128,0.969616631391128,378,0.969616631391128,greater
hsa00232.Caffeine.metabolism,NA,NA,NA,NA,7,NA,greater
hsa00300.Lysine.biosynthesis,NA,NA,NA,NA,3,NA,greater
hsa00430.Taurine.and.hypotaurine.metabolism,NA,NA,NA,NA,9,NA,greater
hsa00785.Lipoic.acid.metabolism,NA,NA,NA,NA,3,NA,greater
hsa00460.Cyanoamino.acid.metabolism,NA,NA,NA,NA,6,NA,greater
hsa00472.D.Arginine.and.D.ornithine.metabolism,NA,NA,NA,NA,1,NA,greater
hsa00061.Fatty.acid.biosynthesis,NA,NA,NA,NA,6,NA,greater
hsa00400.Phenylalanine..tyrosine.and.tryptophan.biosynthesis,NA,NA,NA,NA,5,NA,greater
hsa00471.D.Glutamine.and.D.glutamate.metabolism,NA,NA,NA,NA,3,NA,greater
hsa00750.Vitamin.B6.metabolism,NA,NA,NA,NA,6,NA,greater
hsa00072.Synthesis.and.degradation.of.ketone.bodies,NA,NA,NA,NA,9,NA,greater
NA.,NA,NA,NA,NA,0,NA,greater
NA..1,NA,NA,NA,NA,0,NA,greater
NA..2,NA,NA,NA,NA,0,NA,greater
NA..3,NA,NA,NA,NA,0,NA,greater
NA..4,NA,NA,NA,NA,0,NA,greater
NA..5,NA,NA,NA,NA,0,NA,greater
NA..6,NA,NA,NA,NA,0,NA,greater
NA..7,NA,NA,NA,NA,0,NA,greater
NA..8,NA,NA,NA,NA,0,NA,greater
NA..9,NA,NA,NA,NA,0,NA,greater
NA..10,NA,NA,NA,NA,0,NA,greater
NA..11,NA,NA,NA,NA,0,NA,greater
NA..12,NA,NA,NA,NA,0,NA,greater
NA..13,NA,NA,NA,NA,0,NA,greater
NA..14,NA,NA,NA,NA,0,NA,greater
NA..15,NA,NA,NA,NA,0,NA,greater
NA..16,NA,NA,NA,NA,0,NA,greater
NA..17,NA,NA,NA,NA,0,NA,greater
NA..18,NA,NA,NA,NA,0,NA,greater
NA..19,NA,NA,NA,NA,0,NA,greater
NA..20,NA,NA,NA,NA,0,NA,greater
NA..21,NA,NA,NA,NA,0,NA,greater
NA..22,NA,NA,NA,NA,0,NA,greater
NA..23,NA,NA,NA,NA,0,NA,greater
NA..24,NA,NA,NA,NA,0,NA,greater
NA..25,NA,NA,NA,NA,0,NA,greater
NA..26,NA,NA,NA,NA,0,NA,greater
NA..27,NA,NA,NA,NA,0,NA,greater
NA..28,NA,NA,NA,NA,0,NA,greater
NA..29,NA,NA,NA,NA,0,NA,greater
NA..30,NA,NA,NA,NA,0,NA,greater
NA..31,NA,NA,NA,NA,0,NA,greater
NA..32,NA,NA,NA,NA,0,NA,greater
NA..33,NA,NA,NA,NA,0,NA,greater
NA..34,NA,NA,NA,NA,0,NA,greater
NA..35,NA,NA,NA,NA,0,NA,greater
NA..36,NA,NA,NA,NA,0,NA,greater
NA..37,NA,NA,NA,NA,0,NA,greater
NA..38,NA,NA,NA,NA,0,NA,greater
NA..39,NA,NA,NA,NA,0,NA,greater
NA..40,NA,NA,NA,NA,0,NA,greater
NA..41,NA,NA,NA,NA,0,NA,greater
NA..42,NA,NA,NA,NA,0,NA,greater
NA..43,NA,NA,NA,NA,0,NA,greater
NA..44,NA,NA,NA,NA,0,NA,greater
NA..45,NA,NA,NA,NA,0,NA,greater
NA..46,NA,NA,NA,NA,0,NA,greater
NA..47,NA,NA,NA,NA,0,NA,greater
NA..48,NA,NA,NA,NA,0,NA,greater
NA..49,NA,NA,NA,NA,0,NA,greater
NA..50,NA,NA,NA,NA,0,NA,greater
NA..51,NA,NA,NA,NA,0,NA,greater
NA..52,NA,NA,NA,NA,0,NA,greater
NA..53,NA,NA,NA,NA,0,NA,greater
NA..54,NA,NA,NA,NA,0,NA,greater
NA..55,NA,NA,NA,NA,0,NA,greater
NA..56,NA,NA,NA,NA,0,NA,greater
NA..57,NA,NA,NA,NA,0,NA,greater
NA..58,NA,NA,NA,NA,0,NA,greater
NA..59,NA,NA,NA,NA,0,NA,greater
NA..60,NA,NA,NA,NA,0,NA,greater
NA..61,NA,NA,NA,NA,0,NA,greater
NA..62,NA,NA,NA,NA,0,NA,greater
NA..63,NA,NA,NA,NA,0,NA,greater
NA..64,NA,NA,NA,NA,0,NA,greater
NA..65,NA,NA,NA,NA,0,NA,greater
NA..66,NA,NA,NA,NA,0,NA,greater
NA..67,NA,NA,NA,NA,0,NA,greater
NA..68,NA,NA,NA,NA,0,NA,greater
NA..69,NA,NA,NA,NA,0,NA,greater
