List,Symbol
Berry86,SEPT
Berry86,AGMAT
Berry86,ANKRD13A
Berry86,ATG3
Berry86,ATP1B3
Berry86,ATP6V0E1
Berry86,ATP6V0E1
Berry86,BRSK1
Berry86,C20orf24
Berry86,C20orf24
Berry86,C4orf34
Berry86,C9orf109
Berry86,C9orf127
Berry86,CALCOCO2
Berry86,CAPS
Berry86,CASP4
Berry86,CCR2
Berry86,CCR7
Berry86,CD74
Berry86,CHI3L2
Berry86,CLEC1A
Berry86,DBI
Berry86,DEPDC5
Berry86,DHRS9
Berry86,DMXL2
Berry86,EFR3A
Berry86,EIF4E3
Berry86,EPB41L3
Berry86,FCRL3
Berry86,FER1L3
Berry86,GLRX
Berry86,GSTK1
Berry86,HLA-F
Berry86,KIAA1632
Berry86,KPNB1
Berry86,LACTB
Berry86,LOC149448
Berry86,LOC284701
Berry86,LOC391811
Berry86,LOC440348
Berry86,LOC644086
Berry86,LRRC37A4
Berry86,LYSMD2
Berry86,MCL1
Berry86,MRPL44
Berry86,MS4A6A
Berry86,MTHFD2
Berry86,NAT1
Berry86,NFKBIB
Berry86,NPC2
Berry86,P2RY5
Berry86,PDE7A
Berry86,PIGU
Berry86,POLB
Berry86,POMP
Berry86,PPP1R3D
Berry86,PRCP
Berry86,PSMA4
Berry86,PSMA4
Berry86,PSMB10
Berry86,PSMB3
Berry86,PTPRE
Berry86,RAC1
Berry86,RBCK1
Berry86,RBMS1
Berry86,RNASEL
Berry86,SEC23B
Berry86,SLC16A6
Berry86,SLC7A6
Berry86,THEM2
Berry86,TLR7
Berry86,TMC6
Berry86,TMEM51
Berry86,TNFRSF14
Berry86,TRIB2
Berry86,TYROBP
Berry86,USP15
Berry86,USP47
Berry86,VCPIP1
Berry86,WDR33
Berry86,WSB2
Berry86,ZMYND15
daCosta2,GBP5
daCosta2,CD64
daCosta3,GBP5
daCosta3,GZMA
daCosta3,CD64
Kaforou44,CYB561
Kaforou44,LOC196752
Kaforou44,HM13
Kaforou44,LHFPL2
Kaforou44,PPPDE2
Kaforou44,RBM12B
Kaforou44,PRDM1
Kaforou44,CASC1
Kaforou44,CYB561
Kaforou44,CALML4
Kaforou44,HLA-DPB1
Kaforou44,ALDH1A1
Kaforou44,EBF1
Kaforou44,AAK1
Kaforou44,PGA5
Kaforou44,RNF19A
Kaforou44,HS.131087
Kaforou44,SERPING1
Kaforou44,MIR1974
Kaforou44,IMPA2
Kaforou44,GJA9
Kaforou44,ORM1
Kaforou44,MAP7
Kaforou44,BTN3A1
Kaforou44,PDK4
Kaforou44,RP5-1022P6.2
Kaforou44,GBP6
Kaforou44,UGP2
Kaforou44,CERKL
Kaforou44,CREB5
Kaforou44,CD74
Kaforou44,LOC389386
Kaforou44,VPREB3
Kaforou44,4-Sep
Kaforou44,HS.162734
Kaforou44,ARG1
Kaforou44,MAK
Kaforou44,MAP7
Kaforou44,C19ORF12
Kaforou44,ALDH1A1
Kaforou44,DUSP3
Kaforou44,LOC100133800
Kaforou44,TMCC1
Kaforou44,HM13
Sweeney3,GBP5
Sweeney3,DUSP3
Sweeney3,KLF2
Walter47,LIPN
Walter47,CCNA1
Walter47,PGM5
Walter47,LOC149837
Walter47,SNORA9
Walter47,IER3
Walter47,IER3
Walter47,TAS2R39
Walter47,SNORD36B
Walter47,FCGR2B
Walter47,MTHFD1L
Walter47,MTHFD1L
Walter47,SNORA5C
Walter47,HSPE1
Walter47,SNRPD2
Walter47,SNORD116-12
Walter47,PIPSL
Walter47,C4orf39
Walter47,USP17L2
Walter47,OR9Q1
Walter47,PAPD5
Walter47,INHBE
Walter47,HECW1
Walter47,CWH43
Walter47,MAP6D1
Walter47,HLA-G
Walter47,CHFR
Walter47,MIRLET7F2
Walter47,GOLGA8DP
Walter47,FAT4
Walter47,C19orf25
Walter47,CDKN2A
Walter47,BTBD9
Walter47,HLA-F
Walter47,HLA-F
Walter47,HLA-F
Walter47,GOLGA8IP
Walter47,LINGO2
Walter47,TEC
Walter47,PLCXD2
Walter47,GOLGA8IP
Walter47,CLEC7A
Walter47,PRDM1
Walter47,CYB561
Walter47,TAPBPL
Walter47,C2orf46
Walter47,GBP5
Zak16,ANKRD22
Zak16,APOL1
Zak16,BATF2
Zak16,ETV7
Zak16,FCGR1A
Zak16,FCGR1B
Zak16,GBP1
Zak16,GBP2
Zak16,GBP4
Zak16,GBP5
Zak16,SCARF1
Zak16,SEPT4
Zak16,SERPING1
Zak16,STAT1
Zak16,TAP1
Zak16,TRAFD1
cfRNA,GBP5
cfRNA,BNIP3L
cfRNA,KLF6
cfRNA,DYSF
cfRNA,LASP1
cfRNA,PCBP1